CSA2010,empl15,unempl15,nilf15,unempr15,lesshs15,hsdipl15,bahigher15,comprop15,crehab15,numbus15,smlbus15,banks15,biz1_15,biz2_15,biz4_15,neiind15,neibus15,neiemp15
Community Statistical Areas,Percent  Population 16-64 Employed,Percent  Population 16-64 Unemployed and Looking for Work,Percent  Population 16-64 Not in Labor Force,Unemployment Rate,Percent  Population (25 years and over) With Less Than a High School Diploma or GED,Percent  Population (25 years and over) With High School Diploma and Some College or Associates Degree,Percent  Population (25 years and over) with a Bachelor's Degree or Above,Total Number of Commercial Properties,"Percent of Commercial Properties with Rehab Permits Above $5,000",Total Number of Businesses,Number of Businesses with Under 50 Employees,"Number of Banks and Bank Branches per 1,000 Residents",Percent of Businesses that are 1 year old or less,Percent of Businesses that are 2 years old or less,Percent of Businesses that are 4 years old or less,Number  of Businesses by Selected Neighborhood Industry (NAICS Sectors),"Neighborhood Businesses per 1,000 residents (NAICS Sectors)",Total number of Employees by Selected Neighborhood Industry (NAICS Sectors)
Lauraville,68.5,8.9,22.7,10.2,11.1,54.8,34.1, 131 ,7.6, 224 , 207 ,0.0,3.6,12.1,28.1, 155 ,12.6, 969 
Loch Raven,64.0,10.2,25.8,11.9,11.7,66.1,22.2, 50 ,46.0, 213 , 196 ,0.1,9.4,16.9,31.9, 164 ,10.7," 3,677 "
Madison/East End,43.0,15.7,41.3,21.2,32.6,61.1,6.3, 186 ,5.9, 214 , 207 ,0.0,5.1,15.4,32.2, 169 ,21.7, 816 
Medfield/Hampden/Woodberry/Remington,78.1,5.9,15.9,6.6,14.0,33.7,52.4, 537 ,15.3, 867 , 816 ,0.3,6.1,11.9,29.8, 578 ,33.2," 4,969 "
Midtown,71.1,4.9,23.9,5.9,10.5,29.0,60.6, 810 ,12.7," 1,140 "," 1,076 ",0.3,7.2,14.4,34.3, 794 ,52.9," 6,672 "
Midway/Coldstream,49.5,17.8,32.7,21.7,28.5,63.3,8.2, 281 ,6.0, 211 , 198 ,0.1,6.2,13.3,26.1, 141 ,14.7, 700 
Morrell Park/Violetville,60.1,8.9,31.0,10.8,32.0,58.3,9.7, 477 ,8.6, 416 , 388 ,0.1,7.0,13.9,32.2, 263 ,29.3," 6,294 "
Mount Washington/Coldspring,80.3,4.2,15.5,4.7,5.3,26.4,68.3, 99 ,25.3, 217 , 198 ,0.2,6.9,12.0,30.0, 159 ,30.8," 5,109 "
North Baltimore/Guilford/Homeland,56.8,4.0,39.2,5.6,3.9,21.6,74.5, 234 ,23.5, 304 , 282 ,0.1,7.2,12.5,26.3, 207 ,11.9," 1,474 "
Northwood,53.7,8.4,37.9,11.5,11.7,64.1,24.3, 63 ,15.9, 177 , 163 ,0.1,7.9,13.0,28.8, 108 ,6.5," 2,103 "
Oldtown/Middle East,41.4,11.0,47.6,14.8,32.9,52.2,15.0, 491 ,21.8, 610 , 551 ,0.4,24.9,31.5,48.9, 468 ,46.7," 6,209 "
Orangeville/East Highlandtown,69.0,6.3,24.7,7.5,31.8,51.5,16.7, 624 ,12.2, 629 , 573 ,0.2,10.7,17.2,31.6, 361 ,39.5," 3,518 "
Patterson Park North & East,69.2,6.2,24.6,7.5,20.9,37.4,41.7, 157 ,13.4, 178 , 171 ,0.1,7.3,15.2,35.4, 127 ,8.7, 582 
Penn North/Reservoir Hill,53.9,11.8,34.3,15.1,17.3,55.3,27.3, 142 ,14.1, 283 , 267 ,0.0,7.4,17.7,36.0, 212 ,21.9," 1,261 "
Pimlico/Arlington/Hilltop,51.2,10.9,37.9,13.8,24.4,67.0,8.6, 210 ,14.3, 422 , 407 ,0.2,9.7,17.3,34.1, 343 ,29.0," 7,475 "
Poppleton/The Terraces/Hollins Market,53.7,11.8,34.6,14.8,30.9,50.5,18.6, 234 ,4.7, 199 , 183 ,0.2,9.5,17.1,37.2, 134 ,26.3," 1,209 "
Sandtown-Winchester/Harlem Park,47.8,12.8,39.4,16.6,31.4,63.1,5.5, 190 ,11.1, 204 , 192 ,0.0,8.3,13.7,33.3, 148 ,9.9, 830 
South Baltimore,84.8,5.5,9.7,5.8,8.9,27.7,63.4, 255 ,43.5, 220 , 195 ,0.6,7.3,15.0,40.5, 139 ,21.7," 13,128 "
Southeastern,58.2,11.2,30.6,14.3,25.3,62.2,12.5, 438 ,15.3, 419 , 381 ,0.8,5.3,14.3,35.6, 201 ,32.1," 3,246 "
Southern Park Heights,44.8,14.3,40.9,18.4,24.6,66.1,9.2, 175 ,9.7, 216 , 205 ,0.0,7.4,15.7,33.8, 149 ,11.2, 926 
Southwest Baltimore,49.7,12.9,37.4,15.9,32.6,58.8,8.6, 648 ,2.9, 453 , 429 ,0.1,7.9,14.1,32.9, 317 ,17.7," 2,668 "
The Waverlies,60.9,11.0,28.0,13.6,17.9,59.3,22.7, 172 ,4.1, 253 , 240 ,0.1,5.9,13.4,33.2, 184 ,23.7," 1,288 "
Upton/Druid Heights,40.9,12.6,46.6,18.4,27.7,56.1,16.1, 312 ,6.1, 307 , 280 ,0.0,7.8,14.3,29.3, 195 ,18.9," 1,493 "
Washington Village/Pigtown,61.8,12.3,25.8,14.9,18.0,47.3,34.7, 331 ,17.2, 334 , 301 ,0.5,4.8,12.6,29.9, 164 ,29.8," 5,206 "
Westport/Mount Winans/Lakeland,56.0,12.8,31.2,15.4,28.7,62.6,8.6, 253 ,8.7, 263 , 241 ,0.0,2.7,15.6,31.2, 152 ,21.4," 1,587 "
Baltimore City,60.4,9.3,30.3,11.4,17.5,53.8,28.7," 15,331 ",13.4," 21,195 "," 19,715 ",0.2,7.8,15.1,32.9," 14,489 ",23.3," 205,862 "
